technology,parameter,value,unit,source,further description
NH3 (l) pipeline,FOM,1,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2023), Excel datasheet: NH3.","Assumption for Investment costs; single line, above 2000 MW [EUR/MW/m], Estimate includes: installation based on burried pipeline with 8% tunneling, coating, sectionalisation with depressurizations vents for every 20 km, cathodic protection, coating, pressure boosting stations, permitting, landowner compensation"
NH3 (l) pipeline,investment,200.0,EUR/MW/km,"Danish Energy Agency, Technology Data for Energy Transport (2023), Excel datasheet: NH3.","Assumption for Investment costs; single line, above 2000 MW [EUR/MW/m], Estimate includes: installation based on burried pipeline with 8% tunneling, coating, sectionalisation with depressurizations vents for every 20 km, cathodic protection, coating, pressure boosting stations, permitting, landowner compensation"
NH3 (l) pipeline,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2023), Excel datasheet: NH3.","Assumption for Investment costs; single line, above 2000 MW [EUR/MW/m], Estimate includes: installation based on burried pipeline with 8% tunneling, coating, sectionalisation with depressurizations vents for every 20 km, cathodic protection, coating, pressure boosting stations, permitting, landowner compensation"
NH3 (l) pipeline,discount rate,,per unit,,
